Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Mallory Martin,Women's Strawweight,5.33,115,63,25,4,2,0
Danny Martinez,Bantamweight,5.5,125,67,34,18,7,0
Henry Martinez,Lightweight,5.58,155,68,36,9,3,0
Jonathan Martinez,Bantamweight,5.67,135,70,25,11,2,0
Adriano Martins,Lightweight,5.83,155,72,36,28,9,0
Lucas Martins,Featherweight,6.0,145,72,30,16,3,0
Bristol Marunde,Middleweight,6.08,170,71,37,12,9,0
Mike Massenzio,Middleweight,6.17,185,73,36,13,6,0
Jameel Massouh,Featherweight,5.83,145,72,35,26,9,0
Tiffany Masters,Women's Strawweight,5.25,115,65,25,2,1,0
Jorge Masvidal,Welterweight,5.92,170,74,34,34,13,0
Tateki Matsuda,Flyweight,5.58,125,65,33,10,7,0
Jake Matthews,Welterweight,5.92,170,73,25,15,4,0
Vladimir Matyushenko,Light Heavyweight,6.0,205,74,48,26,7,0
Jack May,Heavyweight,6.67,255,79,38,7,2,0
Don'Tale Mayes,Heavyweight,6.5,260,81,27,7,2,0
Gray Maynard,Lightweight,5.75,155,70,40,14,8,1
Gina Mazany,Women's Bantamweight,5.5,135,68,31,5,3,0
Sabina Mazo,Women's Flyweight,5.58,125,70,22,7,1,0
Michael McBride,Lightweight,6.08,155,75,33,8,3,0
Ian McCall,Flyweight,5.42,125,64,35,13,5,1
Molly McCann,Women's Flyweight,5.33,125,62,29,10,2,0
Charles McCarthy,Middleweight,5.83,185,71,39,10,5,0
Sean McCorkle,Heavyweight,6.58,265,81,43,13,2,0
Kris McCray,Welterweight,6.0,170,76,38,6,3,0
Tamdan McCrory,Middleweight,6.33,185,78,32,14,5,0
Rob McCullough,Lightweight,5.75,155,69,42,19,8,0
Justin McCully,Heavyweight,6.08,225,73,43,10,5,2
Bubba McDaniel,Middleweight,6.25,185,75,36,21,8,0
Michael McDonald,Bantamweight,5.75,135,70,28,17,4,0
Drew McFedries,Middleweight,6.0,185,72,41,10,6,0
Court McGee,Welterweight,5.92,170,75,34,20,9,0
Conor McGregor,Welterweight,5.75,155,74,31,21,4,0
Tim McKenzie,Middleweight,6.0,185,74,37,13,8,0
Cody McKenzie,Lightweight,6.0,155,72,31,14,4,0
