Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
daniel rodriguez,6.08,170,75,32,7.2,0.48,6.33,0.58,4.0,0.8,0.0,0.0,0.89,9
ray rodriguez,5.58,135,69,31,1.22,0.33,5.95,0.4,1.22,0.33,0.4,0.0,0.75,20
nick roehrick,6.17,205,75,32,2.31,0.17,6.92,0.44,0.0,0.0,0.0,0.0,0.88,8
marcos rogerio de lima,6.08,253,75,34,3.55,0.54,2.61,0.54,0.78,0.6,0.36,0.8,0.67,24
brett rogers,6.42,265,81,38,3.17,0.44,3.2,0.46,0.0,0.0,0.58,0.0,0.73,15
shane roller,5.83,155,72,40,2.04,0.34,2.65,0.6,2.46,0.33,0.42,1.9,0.61,18
ricardo romero,6.0,205,76,41,2.17,0.55,4.77,0.46,1.63,0.1,1.0,3.3,0.79,14
yoel romero,6.0,185,73,42,3.71,0.49,3.21,0.6,1.79,0.31,0.78,0.0,0.76,17
mara romero borella,5.5,125,69,33,2.98,0.35,2.87,0.73,1.68,0.41,0.66,0.3,0.67,18
jesse ronson,5.83,155,72,33,3.09,0.46,2.73,0.59,0.67,0.4,0.61,0.3,0.7,27
george roop,6.08,135,72,37,3.43,0.34,2.47,0.6,1.05,0.57,0.59,0.1,0.52,29
aaron rosa,6.33,205,78,36,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,0.77,22
charles rosa,5.75,145,69,33,3.79,0.36,4.22,0.5,2.82,0.34,0.47,1.2,0.8,15
karol rosa,5.42,135,67,24,11.4,0.48,11.0,0.43,0.0,0.0,1.0,0.0,0.8,15
jared rosholt,6.17,265,75,33,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,0.82,17
ben rothwell,6.33,265,78,38,3.2,0.41,4.53,0.47,0.69,0.34,0.69,0.3,0.75,48
khalil rountree jr.,6.08,205,76,29,3.01,0.4,2.85,0.47,0.0,0.0,0.46,0.2,0.69,13
ronda rousey,5.58,135,68,32,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8,0.86,14
philip rowe,6.25,170,80,29,8.18,0.67,6.33,0.47,0.0,0.0,0.5,0.0,0.75,8
