Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
darko stosic,6.0,205,76,27,2.86,0.46,2.83,0.59,2.26,0.38,0.83,0.0,0.81,16
sam stout,5.75,155,70,35,4.17,0.28,4.08,0.57,0.63,0.38,0.77,0.1,0.62,34
sean strickland,6.08,170,76,28,4.34,0.35,3.62,0.64,1.37,0.57,0.81,0.5,0.87,23
hans stringer,6.25,205,73,32,3.16,0.61,2.84,0.41,2.4,0.36,0.62,0.0,0.69,32
stefan struve,6.92,265,84,31,3.01,0.45,3.89,0.47,0.61,0.53,0.54,1.8,0.75,44
mike stumpf,5.83,170,71,33,3.34,0.43,8.85,0.47,1.59,0.25,0.33,0.8,0.73,15
tatiana suarez,5.42,115,66,28,4.82,0.65,1.45,0.48,6.47,0.62,1.0,0.6,1.0,9
george sullivan,6.0,170,73,38,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,0.71,24
justin sumter,6.17,185,80,29,2.68,0.48,7.64,0.34,2.87,1.0,0.0,0.0,0.78,9
martin svensson,6.08,155,72,34,2.02,0.38,5.91,0.38,0.0,0.0,0.0,0.0,0.7,20
cub swanson,5.67,145,70,35,4.59,0.49,3.65,0.61,1.06,0.5,0.6,0.5,0.7,37
mike swick,6.08,170,77,40,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,0.71,21
bentley syler,5.33,125,68,36,1.3,0.18,1.73,0.79,0.0,0.0,0.75,0.0,0.83,6
kevin syler,5.75,145,71,26,9.8,0.75,5.87,0.5,1.0,0.5,0.0,2.0,1.0,8
tim sylvia,6.67,265,80,43,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,0.81,37
justin tafa,6.0,264,74,25,2.77,0.66,1.85,0.66,0.0,0.0,0.0,0.0,0.75,4
khalid taha,5.42,135,69,27,2.64,0.5,2.29,0.45,0.0,0.0,0.63,0.5,0.88,16
mairbek taisumov,5.75,155,73,31,2.98,0.39,3.03,0.64,1.34,0.63,0.88,0.0,0.82,33
nordine taleb,6.08,170,74,38,3.66,0.51,2.62,0.66,1.94,0.76,0.73,0.0,0.68,22
akitoshi tamura,5.75,135,70,39,3.73,0.43,1.94,0.78,0.0,0.0,0.2,1.0,0.55,29
issei tamura,5.42,135,63,35,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0.0,0.64,11
michinori tanaka,5.42,135,67,29,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2,0.79,14
evan tanner,6.0,185,74,48,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3,0.8,40
manny tapia,5.42,135,67,38,2.69,0.21,4.74,0.58,0.49,0.4,0.66,0.2,0.69,16
miesha tate,5.5,135,65,33,1.93,0.41,2.71,0.5,2.06,0.31,0.52,1.6,0.72,25
deividas taurosevicius,5.75,145,68,42,2.13,0.43,1.82,0.59,2.0,0.28,0.5,0.3,0.72,18
thiago tavares,5.58,145,68,34,2.0,0.4,2.31,0.62,3.83,0.42,0.62,1.5,0.75,32
brad tavares,6.08,185,74,31,3.02,0.4,2.73,0.55,1.04,0.27,0.77,0.0,0.74,23
paul taylor,6.0,155,72,39,4.44,0.47,4.47,0.55,0.27,0.25,0.56,0.5,0.61,18
jesse taylor,6.0,170,73,36,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1,0.69,48
louis taylor,5.92,185,74,40,2.06,0.32,1.24,0.68,2.48,0.28,1.0,0.0,0.79,14
danielle taylor,5.0,115,60,29,2.75,0.29,3.31,0.71,0.2,0.2,0.7,0.2,0.69,13
james te huna,6.17,185,75,38,4.04,0.51,2.99,0.62,2.75,0.37,0.58,0.2,0.67,27
shawn teed,6.42,265,79,27,1.4,0.42,13.31,0.21,0.0,0.0,0.0,0.0,0.83,6
glover teixeira,6.17,205,76,39,3.41,0.44,3.84,0.54,2.0,0.38,0.6,1.0,0.81,37
david teymur,5.75,155,73,30,4.69,0.43,3.53,0.55,0.94,0.33,0.77,0.0,0.8,10
daniel teymur,5.42,145,69,31,3.32,0.46,3.89,0.57,0.61,0.18,0.58,0.0,0.7,10
motonobu tezuka,5.58,135,66,32,0.87,0.23,2.8,0.51,1.5,0.11,0.0,0.5,0.66,29
brandon thatch,6.17,170,74,34,2.7,0.42,3.63,0.52,1.36,0.66,0.5,0.7,0.69,16
elias theodorou,6.08,185,75,31,4.19,0.42,2.39,0.53,1.27,0.28,0.59,0.0,0.85,20
paulo thiago,5.92,170,73,38,1.71,0.39,1.99,0.63,1.42,0.31,0.63,1.2,0.65,23
nick thompson,6.08,170,74,38,1.87,0.42,1.8,0.49,1.06,1.0,0.35,2.6,0.72,53
oli thompson,6.08,242,75,39,1.66,0.46,5.31,0.46,0.0,0.0,0.5,0.5,0.69,13
stephen thompson,6.0,170,75,36,3.52,0.42,2.54,0.6,0.39,0.45,0.78,0.0,0.74,19
josh thomson,5.83,155,71,41,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,0.72,29
simeon thoresen,6.08,170,79,35,3.85,0.43,3.85,0.64,1.12,0.4,0.5,1.7,0.77,22
gleison tibau,5.83,155,71,36,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,0.74,54
nolan ticman,5.5,125,69,31,2.57,0.47,2.53,0.67,0.0,0.0,0.6,0.0,0.57,7
darren till,6.0,170,74,26,2.41,0.46,3.09,0.6,0.61,0.4,0.83,0.0,0.85,20
andrew todhunter,6.0,185,72,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8
dusko todorovic,6.08,185,74,25,6.8,0.71,7.27,0.38,0.0,0.0,0.0,0.0,1.0,8
kazuki tokudome,5.92,155,73,32,2.26,0.41,3.63,0.53,2.0,0.38,0.78,0.0,0.63,19
tyler toner,5.67,145,70,36,2.95,0.52,2.13,0.62,0.0,0.0,0.54,0.4,0.8,15
miguel torres,5.75,135,76,38,3.98,0.43,1.86,0.74,0.0,0.0,0.17,1.6,0.89,44
tecia torres,5.08,115,60,30,4.04,0.47,3.46,0.62,0.67,0.14,0.52,0.1,0.67,15
alex torres,5.83,145,70,31,2.47,0.37,2.73,0.69,2.0,0.22,0.5,0.0,0.5,4
jose torres,5.33,125,65,27,4.37,0.36,9.84,0.5,1.28,0.33,0.75,0.0,0.89,9
desmond torres,5.5,135,69,22,4.8,0.64,11.78,0.48,0.0,0.0,1.0,0.0,0.88,8
salim touahri,5.83,170,72,30,2.6,0.46,2.87,0.58,0.0,0.0,0.83,0.0,0.71,14
dequan townsend,6.25,205,79,33,1.22,0.43,2.99,0.25,0.0,0.0,0.33,0.0,0.7,30
francisco trevino,5.75,155,70,37,2.65,0.42,2.42,0.64,0.97,0.22,0.41,0.0,0.86,14
frank trigg,5.75,170,71,47,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,0.7,30
francisco trinaldo,5.75,155,70,41,3.16,0.45,2.42,0.61,1.09,0.45,0.63,0.5,0.77,30
michael trizano,5.92,155,71,27,3.02,0.53,2.11,0.63,0.4,0.5,0.8,0.8,0.9,10
antonio trocoli,6.42,205,82,28,1.27,0.71,4.56,0.25,3.8,1.0,1.0,3.8,0.79,14
tor troeng,6.17,185,77,36,1.16,0.46,3.26,0.32,0.62,0.07,0.66,0.3,0.67,24
abel trujillo,5.67,155,70,36,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,0.65,23
arman tsarukyan,5.58,155,72,23,2.0,0.4,1.23,0.45,1.5,0.13,0.66,0.0,0.88,16
chris tuchscherer,6.17,258,76,44,1.35,0.31,3.17,0.47,1.19,0.18,0.0,0.6,0.84,25
jon tuck,5.92,155,73,35,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0,0.67,15
gavin tucker,5.5,145,66,33,2.66,0.37,4.04,0.58,2.08,0.33,0.33,1.0,0.92,12
jumabieke tuerxun,5.58,135,67,33,1.6,0.28,3.08,0.59,0.47,0.11,0.66,0.9,0.81,21
tai tuivasa,6.17,264,75,26,4.09,0.48,3.54,0.51,0.0,0.0,0.42,0.0,0.77,13
zubaira tukhugov,5.67,145,68,28,2.28,0.35,2.04,0.68,3.03,0.56,1.0,0.0,0.78,23
albert tumenov,5.92,170,73,27,3.76,0.42,3.34,0.58,0.2,0.2,0.75,0.0,0.81,21
ricky turcios,5.75,135,71,26,7.33,0.37,4.07,0.64,0.0,0.0,0.0,0.0,0.89,9
wellington turman,6.0,185,72,23,1.67,0.49,3.33,0.37,4.0,0.57,0.0,2.0,0.83,18
jalin turner,6.25,155,77,24,5.66,0.45,4.69,0.48,0.61,1.0,0.71,0.6,0.62,13
austin tweedy,5.75,155,68,29,4.29,0.66,6.43,0.0,0.0,0.0,0.0,0.0,0.91,11
marcin tybura,6.25,249,78,33,3.61,0.51,3.2,0.52,1.48,0.61,0.81,0.1,0.74,23
alberto uda,6.25,185,77,35,1.79,0.52,3.49,0.45,2.83,0.5,0.66,0.0,0.82,11
gasan umalatov,5.92,170,71,37,2.23,0.39,4.1,0.59,0.75,0.17,0.9,0.0,0.71,21
caol uno,5.58,155,70,44,1.91,0.49,1.9,0.5,1.95,0.31,0.37,0.5,0.57,46
hector urbina,5.92,170,73,32,0.97,0.38,2.44,0.39,0.0,0.0,0.38,3.8,0.69,36
elias urbina,6.25,185,77,26,3.85,0.37,6.17,0.5,0.0,0.0,0.0,0.0,0.75,4
nick urso,5.5,125,66,34,3.61,0.45,5.06,0.36,0.0,0.0,0.0,0.0,0.77,13
kamaru usman,6.0,170,76,32,4.2,0.54,1.6,0.57,3.96,0.5,1.0,0.2,0.94,16
darren uyenoyama,5.5,125,64,40,1.34,0.39,2.21,0.66,1.42,0.33,0.35,0.7,0.62,13
richie vaculik,5.5,125,69,36,3.69,0.46,4.09,0.57,3.0,0.45,0.31,1.0,0.67,15
charlie valencia,5.25,135,64,44,2.58,0.37,2.61,0.77,1.4,0.53,0.75,0.5,0.63,19
isaac vallie-flagg,5.67,155,68,41,5.56,0.47,5.6,0.45,0.2,0.12,0.58,0.0,0.67,21
matt van buren,6.42,205,76,33,7.73,0.45,6.82,0.49,0.0,0.0,0.5,0.0,0.64,11
brianna van buren,5.0,115,62,26,4.8,0.38,1.53,0.65,3.0,0.75,0.33,0.0,0.82,11
austin vanderford,5.92,170,74,29,3.9,0.52,5.19,0.45,0.0,0.0,1.0,1.9,1.0,4
lando vannata,5.75,155,71,27,4.41,0.42,4.77,0.54,1.35,0.42,0.62,0.5,0.62,16
paige vanzant,5.33,115,65,25,3.4,0.52,2.63,0.43,1.31,0.33,0.35,1.0,0.67,12
kazula vargas,5.67,155,71,34,1.33,0.47,1.13,0.56,0.0,0.0,0.25,0.0,0.77,13
jamie varner,5.67,155,72,35,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8,0.64,33
guilherme vasconcelos,6.0,185,74,33,3.27,0.29,4.4,0.7,0.0,0.0,0.0,0.0,0.6,5
javier vazquez,5.58,145,69,42,2.43,0.36,1.99,0.72,2.56,0.52,0.57,1.5,0.76,21
manny vazquez,5.83,125,72,25,1.47,0.41,2.67,0.48,1.0,0.33,0.0,1.0,0.85,13
cain velasquez,6.08,240,77,37,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4,0.82,17
bojan velickovic,6.0,170,76,30,2.18,0.34,2.31,0.57,0.67,0.25,0.55,0.5,0.68,22
karlos vemola,6.0,185,75,34,1.67,0.44,2.13,0.37,1.93,0.25,0.31,1.7,0.71,14
brandon vera,6.25,230,76,42,3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2,0.63,19
marlon vera,5.67,135,70,26,3.43,0.47,3.82,0.53,0.76,0.38,0.68,1.4,0.71,21
marvin vettori,6.0,185,74,26,4.05,0.41,2.85,0.66,1.43,0.45,0.8,0.6,0.74,19
hugo viana,5.5,135,67,37,3.05,0.38,3.2,0.57,0.22,0.06,0.5,0.0,0.67,12
polyana viana,5.42,115,67,27,3.89,0.41,3.26,0.54,1.29,0.37,0.5,1.3,0.71,14
james vick,6.25,155,76,32,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7,0.72,18
milton vieira,6.0,145,72,41,1.13,0.35,2.36,0.48,2.67,0.53,0.12,0.7,0.57,23
reginaldo vieira,5.58,135,65,36,3.76,0.4,2.89,0.59,1.97,0.27,0.25,0.8,0.74,19
ketlen vieira,5.67,135,68,28,2.62,0.36,3.69,0.56,2.21,0.57,0.92,0.8,1.0,10
rodolfo vieira,6.0,185,73,30,1.91,0.46,2.33,0.48,4.77,0.42,0.0,1.6,1.0,6
gian villante,6.25,205,76,34,4.26,0.42,5.34,0.55,0.53,0.23,0.83,0.0,0.61,28
armando villarreal,5.58,135,66,30,3.23,0.55,4.3,0.52,3.23,0.25,0.0,0.0,0.83,6
yuri villefort,6.0,170,73,28,3.18,0.43,5.42,0.55,2.0,0.35,0.4,0.3,0.67,9
marcos vinicius,5.75,125,70,39,1.93,0.49,2.91,0.47,0.0,0.0,0.25,0.5,0.74,27
brandon visher,5.5,135,68,35,2.55,0.45,3.76,0.42,0.67,0.2,0.0,0.0,0.81,16
bobby voelker,6.0,170,75,40,4.01,0.35,5.84,0.42,1.04,0.5,0.66,0.0,0.67,36
alexander volkanovski,5.5,145,71,31,6.11,0.59,2.49,0.62,2.78,0.38,0.72,0.5,0.95,21
jacob volkmann,5.75,155,71,39,1.19,0.34,1.78,0.52,3.19,0.48,0.52,2.0,0.79,19
alexander volkov,6.58,250,80,31,5.31,0.6,2.39,0.56,0.86,0.75,0.75,0.3,0.81,37
chris wade,5.83,155,70,32,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1,0.8,15
tj waldburger,5.92,170,75,31,2.02,0.51,2.39,0.4,3.03,0.46,0.4,4.8,0.64,25
chase waldon,6.08,185,75,33,1.03,0.28,6.72,0.38,7.76,0.33,0.0,0.0,0.85,13
johnny walker,6.42,205,82,27,5.73,0.69,3.26,0.29,0.84,1.0,1.0,2.5,0.85,20
ben wall,5.83,155,73,30,1.47,0.29,8.53,0.29,0.0,0.0,1.0,0.0,0.7,10
rodney wallace,5.75,205,72,37,1.13,0.46,3.44,0.45,6.0,0.54,0.28,1.0,0.69,16
randall wallace,5.92,185,73,30,1.13,0.38,4.11,0.45,2.13,0.5,0.0,0.0,0.71,21
james wallace,5.83,155,69,26,0.52,0.28,3.41,0.35,0.0,0.0,0.0,0.0,0.82,11
jimmy wallhead,5.83,170,73,35,3.19,0.26,6.65,0.49,0.0,0.0,1.0,0.0,0.72,40
richard walsh,6.0,170,73,30,3.84,0.46,2.72,0.58,1.55,0.4,0.66,0.2,0.6,15
patrick walsh,5.92,185,71,30,2.03,0.19,2.83,0.64,3.0,0.54,1.0,1.5,0.62,8
sai wang,6.0,170,72,33,3.17,0.46,2.27,0.53,0.0,0.0,0.77,0.0,0.57,14
charlie ward,5.92,170,73,38,1.64,0.19,7.21,0.53,0.0,0.0,0.0,0.0,0.5,6
terrion ware,5.67,135,71,33,4.02,0.32,6.07,0.5,0.5,0.22,0.44,0.0,0.65,26
dominic waters,6.08,170,79,30,0.48,0.23,2.53,0.39,4.07,0.52,0.28,0.0,0.64,14
michelle waterson,5.25,115,62,33,3.35,0.53,3.88,0.48,1.88,0.5,0.57,1.2,0.71,24
walel watson,5.92,135,69,35,2.1,0.29,3.79,0.43,0.0,0.0,0.61,1.4,0.64,14
tom watson,6.08,185,73,37,4.01,0.44,4.41,0.5,0.15,0.07,0.43,0.0,0.65,26
brok weaver,6.0,170,73,27,6.73,0.74,2.6,0.31,0.0,0.0,0.73,0.0,0.78,18
jonavin webb,5.83,170,71,30,1.47,0.3,2.27,0.64,2.5,0.31,0.4,1.0,0.8,10
emil meek,5.92,170,74,31,2.24,0.38,2.64,0.32,0.33,0.5,0.48,1.3,0.64,14
royston wee,5.58,135,67,32,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0,0.8,5
chris weidman,6.17,205,78,35,3.14,0.42,3.25,0.51,3.82,0.5,0.73,1.0,0.74,19
christian wellisch,6.17,234,77,44,3.12,0.27,3.04,0.56,1.22,0.42,0.45,1.2,0.62,13
fabricio werdum,6.33,231,77,42,3.61,0.51,2.45,0.56,1.65,0.3,0.31,1.1,0.72,32
sheldon westcott,6.08,170,71,35,2.26,0.4,3.73,0.37,3.23,0.37,0.14,0.0,0.71,14
coty wheeler,5.5,135,67,41,1.88,0.22,3.16,0.59,0.87,0.37,0.33,2.6,0.78,18
alex white,6.0,155,71,31,3.77,0.42,2.87,0.62,1.05,0.5,0.72,0.6,0.72,18
craig white,6.17,170,76,29,1.23,0.4,3.28,0.39,0.0,0.0,0.5,0.8,0.61,23
rob whiteford,5.75,145,69,36,2.33,0.46,1.99,0.62,1.9,0.3,0.45,0.0,0.75,16
garett whiteley,6.0,155,72,38,3.72,0.48,4.04,0.46,0.0,0.0,0.27,0.9,0.73,11
emily whitmire,5.42,115,63,28,2.84,0.31,2.95,0.55,1.18,0.66,0.66,0.6,0.57,7
robert whittaker,6.0,185,73,28,4.77,0.39,3.7,0.61,0.36,0.57,0.84,0.0,0.81,26
adam wieczorek,6.42,250,81,27,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,0.83,12
mike wilkinson,5.58,145,68,32,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9,0.82,11
rob wilkinson,6.25,185,80,27,2.74,0.5,5.66,0.39,4.47,0.25,0.0,0.0,0.85,13
james wilks,6.08,170,75,41,1.82,0.45,2.03,0.5,1.27,0.22,0.66,3.8,0.64,11
patrick williams,5.67,135,73,38,4.12,0.51,4.12,0.52,2.71,0.41,1.0,0.5,0.57,14
tim williams,6.17,185,76,33,3.07,0.38,3.55,0.48,1.81,0.4,1.0,0.0,0.75,20
jordan williams,6.0,185,76,29,8.07,0.56,6.39,0.33,1.57,1.0,0.88,0.0,0.8,10
cole williams,6.0,170,73,35,0.77,0.33,12.39,0.13,0.0,0.0,0.0,0.0,0.85,13
justin willis,6.08,264,78,32,3.37,0.59,2.57,0.57,0.96,0.66,0.36,0.0,0.8,10
chris wilson,6.08,170,75,42,2.32,0.5,1.36,0.55,1.31,0.5,0.6,1.6,0.67,24
jonathan wilson,6.17,205,75,32,2.92,0.48,5.65,0.56,0.37,1.0,0.8,0.0,0.7,10
matt wiman,5.83,155,68,36,3.41,0.5,3.55,0.52,2.34,0.37,0.61,1.7,0.67,24
eddie wineland,5.58,135,69,35,3.41,0.29,3.51,0.7,0.28,0.28,0.86,0.1,0.63,38
deron winn,5.5,185,70,30,6.6,0.47,5.5,0.51,3.0,0.33,0.0,0.0,0.86,7
andre winner,5.92,155,73,37,2.52,0.33,4.57,0.51,0.0,0.0,0.74,0.0,0.65,20
keith wisniewski,6.0,170,75,37,2.32,0.52,4.86,0.42,1.57,0.4,0.78,0.3,0.67,42
nathaniel wood,5.5,135,69,26,4.24,0.42,2.94,0.58,2.05,0.66,0.8,2.0,0.84,19
tyron woodley,5.75,170,74,37,2.5,0.49,2.58,0.57,1.21,0.41,0.92,0.5,0.79,24
sean woodson,6.17,145,78,27,5.27,0.43,2.29,0.7,0.0,0.0,0.85,0.0,1.0,7
khama worthy,5.92,155,74,33,4.94,0.41,3.53,0.44,0.0,0.0,0.0,0.0,0.71,21
jordan wright,6.17,185,77,28,3.0,0.28,15.0,0.28,0.0,0.0,0.0,0.0,1.0,9
yanan wu,5.67,125,66,23,4.79,0.45,4.35,0.52,0.44,0.14,0.58,0.4,0.77,13
song yadong,5.67,135,67,21,4.28,0.41,2.75,0.68,1.44,1.0,1.0,1.0,0.79,19
rani yahya,5.5,135,67,35,1.59,0.36,1.61,0.52,2.92,0.32,0.22,2.1,0.72,36
alexander yakovlev,6.25,155,74,35,1.87,0.48,2.55,0.56,1.29,0.31,0.72,0.2,0.73,33
norifumi yamamoto,5.33,135,66,42,2.09,0.45,2.01,0.57,0.41,0.22,0.45,0.0,0.75,24
xiaonan yan,5.42,115,63,30,6.85,0.4,4.22,0.64,0.25,0.5,0.66,0.0,0.92,12
petr yan,5.58,135,67,26,5.76,0.45,3.42,0.66,1.54,0.46,0.85,0.3,0.93,14
adam yandiev,5.75,185,74,31,0.18,0.08,6.14,0.36,0.0,0.0,0.25,0.0,0.9,10
dongi yang,5.83,185,71,34,3.55,0.51,3.21,0.63,1.7,0.41,0.61,0.5,0.81,16
jianping yang,5.58,145,65,30,1.4,0.26,2.07,0.65,1.0,0.25,0.33,0.0,0.58,12
hu yaozong,6.25,205,72,24,4.43,0.52,5.23,0.38,0.0,0.0,0.0,0.7,0.6,5
ashley yoder,5.58,115,69,32,3.13,0.42,3.23,0.51,1.2,0.4,0.64,0.6,0.64,11
sanghoon yoo,6.0,155,74,29,5.0,0.66,7.27,0.27,1.0,1.0,0.75,1.0,0.83,6
yoshiyuki yoshida,5.92,170,70,45,0.85,0.36,3.67,0.36,1.41,0.28,0.25,2.8,0.68,19
jason young,5.75,145,73,33,2.97,0.37,3.2,0.5,1.98,0.66,0.55,0.0,0.53,15
shane young,5.67,145,72,26,6.1,0.4,5.09,0.57,0.76,0.25,0.64,0.0,0.76,17
besam yousef,5.92,170,71,34,3.14,0.53,3.98,0.38,1.33,0.66,0.5,0.0,0.75,8
sodiq yusuff,5.75,145,71,26,6.61,0.49,4.39,0.54,0.0,0.0,1.0,0.0,0.91,11
gilbert yvel,6.17,225,77,43,1.05,0.47,1.78,0.5,0.0,0.0,0.25,1.0,0.68,53
luke zachrich,6.17,185,74,37,4.56,0.32,4.46,0.62,0.74,0.33,0.8,0.0,0.78,18
anton zafir,5.92,170,72,32,2.99,0.64,2.31,0.52,6.11,0.6,0.0,0.0,0.7,10
aiemann zahabi,5.67,135,68,31,2.81,0.39,3.93,0.65,0.36,0.16,0.72,0.0,0.78,9
elizeu zaleski dos santos,5.92,170,73,32,4.18,0.39,3.03,0.61,0.45,0.14,0.48,0.6,0.78,27
zach zane,5.58,145,69,29,0.87,0.56,6.67,0.2,0.0,0.0,0.26,0.0,0.63,19
roger zapata,5.92,170,74,33,2.6,0.51,2.13,0.36,0.0,0.0,0.81,1.4,0.57,7
david zawada,6.0,170,75,29,3.64,0.42,4.6,0.56,1.03,0.22,0.75,2.6,0.76,21
joao zeferino,5.92,170,73,33,0.83,0.36,2.6,0.48,0.5,0.05,0.5,1.0,0.68,19
tiequan zhang,5.67,155,70,41,1.23,0.36,2.14,0.51,1.95,0.58,0.75,3.4,0.82,22
zhang lipeng,5.92,155,71,29,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,0.47,19
weili zhang,5.33,115,63,30,6.22,0.49,2.24,0.63,1.75,0.3,1.0,0.9,0.95,21
yao zhikui,5.42,125,64,28,1.44,0.21,2.82,0.48,0.66,0.16,0.58,0.0,0.29,7
fares ziam,6.08,155,75,22,0.67,0.32,1.4,0.57,0.0,0.0,0.75,0.0,0.77,13
cat zingano,5.5,145,68,37,2.57,0.61,1.63,0.47,2.77,0.65,0.42,0.8,0.71,14
allan zuniga,5.58,155,70,27,3.93,0.52,1.8,0.61,0.0,0.0,0.57,1.0,0.87,15
virgil zwicker,6.17,205,74,37,3.34,0.48,4.87,0.39,1.31,0.3,0.5,0.0,0.74,19
